model,metric,comparison,mean_CIHD,mean_PanCan,delta_mean,t_stat,p_raw,n_CIHD,n_PanCan,mean_Obes,n_Obes,mean_Alz,n_Alz,mean_pooled,n_pooled,p_adj,significant_fdr_0.05
Claude,"Gunning Fog
Index",CIHD vs pooled_others,12.20388888888889,,0.660055555555557,1.24347103346396,0.21369430866830497,36,,,,,,11.543833333333334,120.0,0.3561571811138416,False
Claude,"Coleman-Liau
Index",CIHD vs PanCan,11.770833333333332,9.705277777777779,2.0655555555555534,3.684028035953074,0.0002295769735147779,36,36.0,,,,,,,0.003630534968288579,True
Claude,"Coleman-Liau
Index",CIHD vs Obes,11.770833333333332,,0.9689583333333314,1.356878230112171,0.17481990510864387,36,,10.801875,48.0,,,,,0.31785437292480706,False
Claude,"Coleman-Liau
Index",CIHD vs Alz,11.770833333333332,,1.485833333333332,2.5246349005424222,0.011581854399662417,36,,,,10.285,36.0,,,0.038606181332208056,True
Claude,"Coleman-Liau
Index",CIHD vs pooled_others,11.770833333333332,,1.4529999999999994,2.773472121114214,0.005546159230800596,36,,,,,,10.317833333333333,120.0,0.022525999040540867,True
Claude,"Dale-Chall
Score",CIHD vs PanCan,9.120833333333334,8.25388888888889,0.8669444444444441,3.565579202165676,0.0003630534968288579,36,36.0,,,,,,,0.003630534968288579,True
Claude,"Dale-Chall
Score",CIHD vs Obes,9.120833333333334,,0.39104166666666806,1.189734842228751,0.23415062636402828,36,,8.729791666666666,48.0,,,,,0.3602317328677358,False
Claude,"Dale-Chall
Score",CIHD vs Alz,9.120833333333334,,0.8088888888888892,3.2385417597495683,0.0012014243145908043,36,,,,8.311944444444444,36.0,,,0.008009495430605362,True
Claude,"Dale-Chall
Score",CIHD vs pooled_others,9.120833333333334,,0.6591666666666658,2.768499930787499,0.005631499760135217,36,,,,,,8.461666666666668,120.0,0.022525999040540867,True
GPT,"Flesch-Kincaid
Grade",CIHD vs PanCan,10.149999999999999,9.777777777777779,0.37222222222222,1.0745406387093317,0.28258044093150847,36,36.0,,,,,,,0.3161080277749849,False
GPT,"Flesch-Kincaid
Grade",CIHD vs Obes,10.149999999999999,,0.4062499999999982,1.0107148875359464,0.31215290950418373,36,,9.74375,48.0,,,,,0.3285820100044039,False
GPT,"Flesch-Kincaid
Grade",CIHD vs Alz,10.149999999999999,,0.9638888888888886,2.9648591362180547,0.00302821554014443,36,,,,9.18611111111111,36.0,,,0.006729367866987622,True
GPT,"Flesch-Kincaid
Grade",CIHD vs pooled_others,10.149999999999999,,0.5633333333333308,1.9113830973945203,0.05595536722954453,36,,,,,,9.586666666666668,120.0,0.07993623889934932,False
GPT,"SMOG
Index",CIHD vs PanCan,13.019444444444446,12.68611111111111,0.3333333333333357,1.0702712642615828,0.2844972249974864,36,36.0,,,,,,,0.3161080277749849,False
GPT,"SMOG
Index",CIHD vs Obes,13.019444444444446,,0.6236111111111118,1.6250363318152288,0.10415481760161605,36,,12.395833333333334,48.0,,,,,0.13019352200202006,False
GPT,"SMOG
Index",CIHD vs Alz,13.019444444444446,,0.7055555555555557,2.4103836228539297,0.015935754466383845,36,,,,12.31388888888889,36.0,,,0.03187150893276769,True
GPT,"SMOG
Index",CIHD vs pooled_others,13.019444444444446,,0.5611111111111118,2.0809242458146886,0.037440840500052364,36,,,,,,12.458333333333334,120.0,0.062401400833420606,False
GPT,"Gunning Fog
Index",CIHD vs PanCan,12.363333333333335,12.030833333333335,0.3324999999999996,0.8621908268431122,0.388582516731814,36,36.0,,,,,,,0.388582516731814,False
GPT,"Gunning Fog
Index",CIHD vs Obes,12.363333333333335,,0.7708333333333339,1.6453513401276039,0.09989737808218502,36,,11.592500000000001,48.0,,,,,0.13019352200202006,False
GPT,"Gunning Fog
Index",CIHD vs Alz,12.363333333333335,,0.8377777777777791,2.2015340535462737,0.027698238675993858,36,,,,11.525555555555556,36.0,,,0.05036043395635247,False
GPT,"Gunning Fog
Index",CIHD vs pooled_others,12.363333333333335,,0.6594166666666705,1.9553166458928006,0.05054570765128341,36,,,,,,11.703916666666665,120.0,0.07776262715582064,False
GPT,"Coleman-Liau
Index",CIHD vs PanCan,11.610833333333334,9.693888888888889,1.9169444444444448,5.185551589522161,2.1537645511493508e-07,36,36.0,,,,,,,8.615058204597403e-07,True
GPT,"Coleman-Liau
Index",CIHD vs Obes,11.610833333333334,,1.5308333333333337,3.595304589434936,0.000324012261213813,36,,10.08,48.0,,,,,0.0008100306530345325,True
GPT,"Coleman-Liau
Index",CIHD vs Alz,11.610833333333334,,2.0636111111111113,6.615671344871891,3.6986858020782165e-11,36,,,,9.547222222222222,36.0,,,7.397371604156433e-10,True
GPT,"Coleman-Liau
Index",CIHD vs pooled_others,11.610833333333334,,1.8064999999999998,5.93181604930197,2.9960218750346712e-09,36,,,,,,9.804333333333334,120.0,2.996021875034671e-08,True
GPT,"Dale-Chall
Score",CIHD vs PanCan,8.97722222222222,8.29888888888889,0.678333333333331,5.014027919572349,5.330224714938936e-07,36,36.0,,,,,,,1.776741571646312e-06,True
GPT,"Dale-Chall
Score",CIHD vs Obes,8.97722222222222,,0.6653472222222199,3.6859476152256403,0.00022785321988916252,36,,8.311875,48.0,,,,,0.0006510091996833214,True
GPT,"Dale-Chall
Score",CIHD vs Alz,8.97722222222222,,0.6830555555555531,5.340051517819621,9.292017244533213e-08,36,,,,8.294166666666667,36.0,,,4.6460086222666064e-07,True
GPT,"Dale-Chall
Score",CIHD vs pooled_others,8.97722222222222,,0.6745555555555551,5.615678859291086,1.95792007051665e-08,36,,,,,,8.302666666666665,120.0,1.3052800470111e-07,True
